datetime,call_count
2023-02-28,403
2023-03-31,464
2023-04-30,449
2023-05-31,449
2023-06-30,465
2023-07-31,481
2023-08-31,503
2023-09-30,440
2023-10-31,450
2023-11-30,456
2023-12-31,477
2024-01-31,471
2024-02-29,416
2024-03-31,478
2024-04-30,423
2024-05-31,449
2024-06-30,465
2024-07-31,499
2024-08-31,484
2024-09-30,428
2024-10-31,492
2024-11-30,448
2024-12-31,485
2025-01-31,442
2025-02-28,396
2025-03-31,449
2025-04-30,398
2025-05-31,421
2025-06-30,419
2025-07-31,431
2025-08-31,409
2025-09-30,380
2025-10-31,474
