datetime,call_count
2023-02-28,425
2023-03-31,462
2023-04-30,476
2023-05-31,468
2023-06-30,457
2023-07-31,513
2023-08-31,486
2023-09-30,463
2023-10-31,458
2023-11-30,447
2023-12-31,467
2024-01-31,468
2024-02-29,416
2024-03-31,442
2024-04-30,424
2024-05-31,461
2024-06-30,455
2024-07-31,516
2024-08-31,479
2024-09-30,469
2024-10-31,493
2024-11-30,403
2024-12-31,476
2025-01-31,458
2025-02-28,384
2025-03-31,407
2025-04-30,419
2025-05-31,423
2025-06-30,405
2025-07-31,416
2025-08-31,423
2025-09-30,419
2025-10-31,400
