datetime,call_count
2023-02-28,398
2023-03-31,475
2023-04-30,434
2023-05-31,467
2023-06-30,448
2023-07-31,478
2023-08-31,449
2023-09-30,453
2023-10-31,520
2023-11-30,420
2023-12-31,469
2024-01-31,465
2024-02-29,434
2024-03-31,467
2024-04-30,468
2024-05-31,445
2024-06-30,425
2024-07-31,509
2024-08-31,442
2024-09-30,439
2024-10-31,498
2024-11-30,451
2024-12-31,475
2025-01-31,470
2025-02-28,370
2025-03-31,440
2025-04-30,462
2025-05-31,392
2025-06-30,390
2025-07-31,465
2025-08-31,420
2025-09-30,394
2025-10-31,416
