datetime,call_count
2023-02-05,60
2023-02-12,123
2023-02-19,103
2023-02-26,115
2023-03-05,106
2023-03-12,99
2023-03-19,97
2023-03-26,100
2023-04-02,101
2023-04-09,91
2023-04-16,106
2023-04-23,101
2023-04-30,106
2023-05-07,104
2023-05-14,97
2023-05-21,97
2023-05-28,128
2023-06-04,119
2023-06-11,113
2023-06-18,90
2023-06-25,130
2023-07-02,113
2023-07-09,95
2023-07-16,102
2023-07-23,121
2023-07-30,98
2023-08-06,124
2023-08-13,110
2023-08-20,115
2023-08-27,134
2023-09-03,96
2023-09-10,117
2023-09-17,108
2023-09-24,99
2023-10-01,99
2023-10-08,92
2023-10-15,96
2023-10-22,105
2023-10-29,115
2023-11-05,100
2023-11-12,105
2023-11-19,89
2023-11-26,93
2023-12-03,103
2023-12-10,100
2023-12-17,126
2023-12-24,109
2023-12-31,110
2024-01-07,94
2024-01-14,93
2024-01-21,107
2024-01-28,123
2024-02-04,105
2024-02-11,103
2024-02-18,112
2024-02-25,94
2024-03-03,93
2024-03-10,110
2024-03-17,105
2024-03-24,108
2024-03-31,110
2024-04-07,105
2024-04-14,117
2024-04-21,109
2024-04-28,111
2024-05-05,105
2024-05-12,87
2024-05-19,98
2024-05-26,109
2024-06-02,99
2024-06-09,103
2024-06-16,93
2024-06-23,109
2024-06-30,109
2024-07-07,115
2024-07-14,109
2024-07-21,101
2024-07-28,115
2024-08-04,111
2024-08-11,108
2024-08-18,102
2024-08-25,103
2024-09-01,99
2024-09-08,114
2024-09-15,112
2024-09-22,99
2024-09-29,101
2024-10-06,95
2024-10-13,97
2024-10-20,115
2024-10-27,108
2024-11-03,105
2024-11-10,102
2024-11-17,108
2024-11-24,111
2024-12-01,103
2024-12-08,96
2024-12-15,96
2024-12-22,109
2024-12-29,101
2025-01-05,94
2025-01-12,101
2025-01-19,109
2025-01-26,97
2025-02-02,100
2025-02-09,106
2025-02-16,78
2025-02-23,97
2025-03-02,88
2025-03-09,85
2025-03-16,88
2025-03-23,118
2025-03-30,107
2025-04-06,87
2025-04-13,98
2025-04-20,110
2025-04-27,99
2025-05-04,111
2025-05-11,99
2025-05-18,89
2025-05-25,98
2025-06-01,106
2025-06-08,81
2025-06-15,85
2025-06-22,86
2025-06-29,99
2025-07-06,79
2025-07-13,85
2025-07-20,73
2025-07-27,104
2025-08-03,102
2025-08-10,101
2025-08-17,104
2025-08-24,89
2025-08-31,105
2025-09-07,99
2025-09-14,95
2025-09-21,73
2025-09-28,92
2025-10-05,81
2025-10-12,90
2025-10-19,90
2025-10-26,109
2025-11-02,88
2025-11-09,105
2025-11-16,104
