datetime,call_count
2023-02-28,437
2023-03-31,436
2023-04-30,435
2023-05-31,472
2023-06-30,490
2023-07-31,462
2023-08-31,511
2023-09-30,462
2023-10-31,445
2023-11-30,424
2023-12-31,486
2024-01-31,462
2024-02-29,421
2024-03-31,474
2024-04-30,474
2024-05-31,442
2024-06-30,438
2024-07-31,495
2024-08-31,455
2024-09-30,450
2024-10-31,460
2024-11-30,460
2024-12-31,433
2025-01-31,455
2025-02-28,373
2025-03-31,438
2025-04-30,425
2025-05-31,440
2025-06-30,379
2025-07-31,385
2025-08-31,445
2025-09-30,381
2025-10-31,411
