datetime,call_count
2023-02-28,381
2023-03-31,471
2023-04-30,411
2023-05-31,473
2023-06-30,443
2023-07-31,481
2023-08-31,463
2023-09-30,455
2023-10-31,463
2023-11-30,472
2023-12-31,471
2024-01-31,445
2024-02-29,435
2024-03-31,483
2024-04-30,441
2024-05-31,405
2024-06-30,441
2024-07-31,524
2024-08-31,462
2024-09-30,471
2024-10-31,491
2024-11-30,454
2024-12-31,474
2025-01-31,472
2025-02-28,387
2025-03-31,463
2025-04-30,374
2025-05-31,396
2025-06-30,384
2025-07-31,432
2025-08-31,420
2025-09-30,424
2025-10-31,443
