datetime,call_count
2023-02-05,57
2023-02-12,99
2023-02-19,100
2023-02-26,103
2023-03-05,91
2023-03-12,93
2023-03-19,112
2023-03-26,114
2023-04-02,99
2023-04-09,104
2023-04-16,96
2023-04-23,106
2023-04-30,93
2023-05-07,95
2023-05-14,108
2023-05-21,120
2023-05-28,108
2023-06-04,114
2023-06-11,101
2023-06-18,116
2023-06-25,106
2023-07-02,106
2023-07-09,91
2023-07-16,102
2023-07-23,101
2023-07-30,92
2023-08-06,114
2023-08-13,96
2023-08-20,108
2023-08-27,99
2023-09-03,101
2023-09-10,115
2023-09-17,112
2023-09-24,100
2023-10-01,82
2023-10-08,103
2023-10-15,92
2023-10-22,105
2023-10-29,110
2023-11-05,86
2023-11-12,100
2023-11-19,107
2023-11-26,111
2023-12-03,113
2023-12-10,100
2023-12-17,103
2023-12-24,110
2023-12-31,110
2024-01-07,111
2024-01-14,94
2024-01-21,116
2024-01-28,103
2024-02-04,94
2024-02-11,103
2024-02-18,97
2024-02-25,106
2024-03-03,111
2024-03-10,109
2024-03-17,107
2024-03-24,119
2024-03-31,94
2024-04-07,103
2024-04-14,117
2024-04-21,114
2024-04-28,115
2024-05-05,112
2024-05-12,104
2024-05-19,113
2024-05-26,99
2024-06-02,109
2024-06-09,113
2024-06-16,88
2024-06-23,112
2024-06-30,97
2024-07-07,110
2024-07-14,116
2024-07-21,122
2024-07-28,98
2024-08-04,95
2024-08-11,93
2024-08-18,109
2024-08-25,119
2024-09-01,107
2024-09-08,102
2024-09-15,107
2024-09-22,102
2024-09-29,121
2024-10-06,98
2024-10-13,104
2024-10-20,107
2024-10-27,89
2024-11-03,126
2024-11-10,120
2024-11-17,88
2024-11-24,112
2024-12-01,87
2024-12-08,97
2024-12-15,114
2024-12-22,128
2024-12-29,100
2025-01-05,108
2025-01-12,97
2025-01-19,116
2025-01-26,107
2025-02-02,111
2025-02-09,86
2025-02-16,90
2025-02-23,106
2025-03-02,89
2025-03-09,86
2025-03-16,99
2025-03-23,80
2025-03-30,100
2025-04-06,93
2025-04-13,92
2025-04-20,86
2025-04-27,98
2025-05-04,94
2025-05-11,100
2025-05-18,83
2025-05-25,89
2025-06-01,81
2025-06-08,96
2025-06-15,87
2025-06-22,84
2025-06-29,101
2025-07-06,101
2025-07-13,84
2025-07-20,103
2025-07-27,87
2025-08-03,79
2025-08-10,103
2025-08-17,96
2025-08-24,103
2025-08-31,110
2025-09-07,89
2025-09-14,95
2025-09-21,101
2025-09-28,100
2025-10-05,96
2025-10-12,97
2025-10-19,80
2025-10-26,87
2025-11-02,94
2025-11-09,86
2025-11-16,95
