datetime,call_count
2023-02-05,65
2023-02-12,106
2023-02-19,117
2023-02-26,126
2023-03-05,120
2023-03-12,96
2023-03-19,130
2023-03-26,134
2023-04-02,115
2023-04-09,98
2023-04-16,118
2023-04-23,116
2023-04-30,98
2023-05-07,102
2023-05-14,106
2023-05-21,117
2023-05-28,98
2023-06-04,91
2023-06-11,115
2023-06-18,118
2023-06-25,113
2023-07-02,93
2023-07-09,124
2023-07-16,100
2023-07-23,116
2023-07-30,105
2023-08-06,124
2023-08-13,116
2023-08-20,106
2023-08-27,127
2023-09-03,92
2023-09-10,128
2023-09-17,104
2023-09-24,113
2023-10-01,102
2023-10-08,92
2023-10-15,113
2023-10-22,111
2023-10-29,101
2023-11-05,116
2023-11-12,110
2023-11-19,121
2023-11-26,129
2023-12-03,106
2023-12-10,103
2023-12-17,114
2023-12-24,102
2023-12-31,94
2024-01-07,98
2024-01-14,107
2024-01-21,104
2024-01-28,116
2024-02-04,100
2024-02-11,92
2024-02-18,114
2024-02-25,105
2024-03-03,108
2024-03-10,119
2024-03-17,111
2024-03-24,104
2024-03-31,103
2024-04-07,112
2024-04-14,101
2024-04-21,108
2024-04-28,114
2024-05-05,101
2024-05-12,107
2024-05-19,110
2024-05-26,115
2024-06-02,107
2024-06-09,123
2024-06-16,94
2024-06-23,106
2024-06-30,105
2024-07-07,108
2024-07-14,100
2024-07-21,122
2024-07-28,122
2024-08-04,99
2024-08-11,107
2024-08-18,110
2024-08-25,119
2024-09-01,114
2024-09-08,110
2024-09-15,96
2024-09-22,114
2024-09-29,94
2024-10-06,99
2024-10-13,106
2024-10-20,105
2024-10-27,115
2024-11-03,110
2024-11-10,117
2024-11-17,127
2024-11-24,128
2024-12-01,102
2024-12-08,119
2024-12-15,100
2024-12-22,117
2024-12-29,105
2025-01-05,107
2025-01-12,97
2025-01-19,116
2025-01-26,97
2025-02-02,107
2025-02-09,110
2025-02-16,111
2025-02-23,106
2025-03-02,90
2025-03-09,112
2025-03-16,92
2025-03-23,96
2025-03-30,95
2025-04-06,103
2025-04-13,98
2025-04-20,95
2025-04-27,98
2025-05-04,88
2025-05-11,107
2025-05-18,97
2025-05-25,107
2025-06-01,111
2025-06-08,105
2025-06-15,108
2025-06-22,86
2025-06-29,111
2025-07-06,101
2025-07-13,98
2025-07-20,92
2025-07-27,83
2025-08-03,90
2025-08-10,92
2025-08-17,102
2025-08-24,79
2025-08-31,92
2025-09-07,97
2025-09-14,103
2025-09-21,95
2025-09-28,127
2025-10-05,106
2025-10-12,118
2025-10-19,110
2025-10-26,88
2025-11-02,110
2025-11-09,107
2025-11-16,94
